year_x,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,County Name,State Name,Males 18-24 %,Females 65+ %,White alone %,Black or African American alone %,"less than $39,999 %","more than $200,000 %",Regular high school diploma %,Master's degree %,In labor force %,Not in labor force %,year_y
2016,Arizona,AZ,Apache,HILLARY CLINTON,DEMOCRAT,17083,27661,Apache County,Arizona,0.10545607162842753,0.14235371250614653,0.2254029248334393,0.004989909601083681,0.5803834427161387,0.0049093070125574905,0.301990516984676,0.03243466110818426,0.40406938828746575,0.5959306117125343,2016
2016,Arizona,AZ,Cochise,DONALD TRUMP,REPUBLICAN,28092,50015,Cochise County,Arizona,0.09840535531012086,0.20963177308572883,0.8280424725184705,0.03960148856659151,0.4501523461304083,0.026731667682307537,0.18087579816492952,0.06675664334078098,0.49803558371922985,0.5019644162807702,2016
2016,Arizona,AZ,Coconino,HILLARY CLINTON,DEMOCRAT,32404,59784,Coconino County,Arizona,0.189640768588137,0.11330994487005083,0.6325689535287983,0.015471085873218217,0.4037917493560782,0.03960646877507073,0.1862503423719529,0.0988272204377381,0.638792477197514,0.3612075228024861,2016
2016,Arizona,AZ,Gila,DONALD TRUMP,REPUBLICAN,14182,22312,Gila County,Arizona,0.07472003631961259,0.27244176917037427,0.7862502115496719,0.006243065871866714,0.49079783258594917,0.014153587443946188,0.24083823948958685,0.05153409238270612,0.4719626168224299,0.5280373831775701,2016
2016,Arizona,AZ,Graham,DONALD TRUMP,REPUBLICAN,8025,12134,Graham County,Arizona,0.11231884057971014,0.14285714285714285,0.7887233872471955,0.01974473074155986,0.43069170865781037,0.012368300503893724,0.24025917550878415,0.04105061749869542,0.49690298375393765,0.5030970162460624,2016
2016,Arizona,AZ,Greenlee,DONALD TRUMP,REPUBLICAN,1892,3270,Greenlee County,Arizona,0.08848114169215086,0.1275758277379023,0.9034041630529055,0.018972246313963572,0.3566009104704097,0.01669195751138088,0.28135828135828134,0.02650727650727651,0.5676107480029049,0.43238925199709516,2016
2016,Arizona,AZ,Maricopa,DONALD TRUMP,REPUBLICAN,747361,1567834,Maricopa County,Arizona,0.09958171288499404,0.15067846242280084,0.7860981976735512,0.052846131965154385,0.3558273754297877,0.05227787480216122,0.1942190756657848,0.08098869559685827,0.6330573166445961,0.366942683355404,2016
2016,Arizona,AZ,Mohave,DONALD TRUMP,REPUBLICAN,58282,79943,Mohave County,Arizona,0.07132610541313321,0.2723911582110799,0.8957221220945936,0.010312872920851156,0.5016738693773206,0.016081319617749102,0.2943604394736322,0.028477575390529856,0.4464152691994111,0.5535847308005889,2016
2016,Arizona,AZ,Navajo,DONALD TRUMP,REPUBLICAN,20577,40294,Navajo County,Arizona,0.09572331447734518,0.16837850865808893,0.47698435435130165,0.008363444815126284,0.5252273393957172,0.013787034320915225,0.2546977154190847,0.04370822008374348,0.4877665516775722,0.5122334483224278,2016
2016,Arizona,AZ,Pima,HILLARY CLINTON,DEMOCRAT,224661,421640,Pima County,Arizona,0.12528567492219916,0.19214940071012418,0.7731671679932386,0.035219437517566364,0.43094666025949063,0.03304838260957536,0.18496778466184832,0.08871852197144896,0.5892388954335703,0.4107611045664296,2016
2016,Arizona,AZ,Pinal,DONALD TRUMP,REPUBLICAN,72819,129546,Pinal County,Arizona,0.08734714731215447,0.19590497178290986,0.7997630808543174,0.04583203388295892,0.3872906170442122,0.019762845849802372,0.2295638509206274,0.0514202271177395,0.5002038084906296,0.4997961915093704,2016
2016,Arizona,AZ,Yavapai,DONALD TRUMP,REPUBLICAN,71330,114450,Yavapai County,Arizona,0.07541274963752864,0.2887599502153455,0.9197661332381762,0.005302260895025299,0.4294932848199476,0.0232008133126438,0.21468111436419063,0.07194470435543751,0.4891488420757424,0.5108511579242576,2016
2016,Arizona,AZ,Yuma,DONALD TRUMP,REPUBLICAN,25165,53010,Yuma County,Arizona,0.13280110539648424,0.18644273083289595,0.7279135430808886,0.020807508411545952,0.4824177993344989,0.017934690654785403,0.20505104101495988,0.037926364723491535,0.5556830566061927,0.4443169433938073,2016
2016,Georgia,GA,Appling,DONALD TRUMP,REPUBLICAN,5494,7012,Appling County,Georgia,0.08505183368632259,0.16749655683864817,0.7709940249864204,0.1823465507876154,0.5286842497392341,0.01057964535836686,0.35088430958948563,0.03099140029206555,0.5309289159152862,0.46907108408471376,2016
2016,Georgia,GA,Atkinson,DONALD TRUMP,REPUBLICAN,1878,2610,Atkinson County,Georgia,0.07799245994344958,0.12847912524850894,0.7148040638606676,0.18093855829704886,0.6186970923813029,0.016194331983805668,0.3467664555747457,0.021492995586259837,0.5906938775510204,0.40930612244897957,2016
2016,Georgia,GA,Bacon,DONALD TRUMP,REPUBLICAN,3364,4020,Bacon County,Georgia,0.1061282830087547,0.1644853201273435,0.787485556839392,0.15420851479868455,0.5262206148282098,0.006716610694910876,0.32439824945295404,0.03774617067833698,0.5338709677419354,0.4661290322580645,2016
2016,Georgia,GA,Baker,DONALD TRUMP,REPUBLICAN,775,1440,Baker County,Georgia,0.08560558021559923,0.22295277943813507,0.5483076923076923,0.41446153846153844,0.45331325301204817,0.009789156626506024,0.35508155583437895,0.04558762024257633,0.5063063063063064,0.4936936936936937,2016
2016,Georgia,GA,Baldwin,HILLARY CLINTON,DEMOCRAT,7970,16116,Baldwin County,Georgia,0.18921504674929332,0.1483364748169903,0.5430055885434859,0.4166739434159972,0.5564231738035265,0.011083123425692695,0.31110313901345293,0.060053811659192824,0.495023102310231,0.5049768976897689,2016
