year,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,County Name,State Name,Females 18-24 %,Males 65+ %,White alone %,Black or African American alone %,"less than $39,999 %","more than $200,000 %",Regular high school diploma %,Master's degree %,In labor force %,Not in labor force %
2012,Arizona,AZ,Pima,BARACK OBAMA,DEMOCRAT,201251,382250,Pima County,Arizona,0.10531190607934178,0.14210648551355745,0.7932924790632059,0.03654255449274653,0.44017460176482576,0.02999890286144185,0.19053351539492946,0.08260198245989436,0.6022412145080418,0.3977587854919582
2012,Arizona,AZ,Pinal,MITT ROMNEY,REPUBLICAN,62079,108315,Pinal County,Arizona,0.07115914073276973,0.13322868635337978,0.772912854870322,0.04523663450732136,0.38985384452446514,0.015642057582324474,0.2290004769815293,0.046649615947630715,0.5286934289721783,0.4713065710278217
2012,Arizona,AZ,Santa Cruz,BARACK OBAMA,DEMOCRAT,9486,13894,Santa Cruz County,Arizona,0.08573049185641358,0.12621229050279328,0.7318996111099305,0.005567715748985273,0.5258657853139819,0.01688460985773818,0.24212888296753382,0.039618540074328586,0.5752580316906527,0.4247419683093473
2012,Arizona,AZ,Yavapai,MITT ROMNEY,REPUBLICAN,64468,100283,Yavapai County,Arizona,0.06376714682418062,0.2343664038144141,0.9167502839833397,0.005594471790988262,0.4565308002808003,0.022683397683397683,0.21952686575759708,0.06242121361428745,0.5312773130228493,0.4687226869771507
2012,Arizona,AZ,Yuma,MITT ROMNEY,REPUBLICAN,23352,41953,Yuma County,Arizona,0.09935499748766907,0.1535778202444869,0.7632725791670909,0.020792180022400977,0.4865285047995322,0.013721099399523613,0.19235592115162764,0.034709334403370616,0.5527302704930772,0.4472697295069228
2012,Georgia,GA,Appling,MITT ROMNEY,REPUBLICAN,5233,7086,Appling County,Georgia,0.06750774679061532,0.11478957048577301,0.7470321133541222,0.19492313583894086,0.5561231729814106,0.007520930892578402,0.37074802186148953,0.02520597112325638,0.5876634979629762,0.4123365020370238
2012,Georgia,GA,Atkinson,MITT ROMNEY,REPUBLICAN,1938,2902,Atkinson County,Georgia,0.09343555342597029,0.08466873953599617,0.6581687612208259,0.16971873129862358,0.6450901066568592,0.003677822728944465,0.33080365829928,0.03152364273204904,0.5845276872964169,0.41547231270358304
2012,Georgia,GA,Bacon,MITT ROMNEY,REPUBLICAN,3093,3931,Bacon County,Georgia,0.08174871156921984,0.10478442786974713,0.7738223660553758,0.16271125494426467,0.57535616095976,0.011497125718570358,0.37695258975061663,0.020416552480131543,0.5205351948807446,0.4794648051192554
2012,Georgia,GA,Baker,BARACK OBAMA,DEMOCRAT,794,1589,Baker County,Georgia,0.06894736842105263,0.1819330385344283,0.429801894918174,0.5687625610106231,0.6762295081967213,0.018442622950819672,0.42201426024955435,0.0022281639928698753,0.4391320338359691,0.5608679661640309
2012,Georgia,GA,Baldwin,BARACK OBAMA,DEMOCRAT,8483,16238,Baldwin County,Georgia,0.2071959225984796,0.11138379402393869,0.5540558023200656,0.4169002544309802,0.545852857055924,0.009614799488833444,0.2968539166252397,0.061359278460336626,0.4880400324870969,0.5119599675129032
2012,Georgia,GA,Banks,MITT ROMNEY,REPUBLICAN,5354,6195,Banks County,Georgia,0.08098118279569892,0.11435314310233856,0.934027397260274,0.02778082191780822,0.49889429455992923,0.016659295297066196,0.3460458973088988,0.018821198613174838,0.6235013671738063,0.37649863282619367
2012,Georgia,GA,Barrow,MITT ROMNEY,REPUBLICAN,18725,25199,Barrow County,Georgia,0.07891613351474973,0.0798427427514237,0.8030114556815552,0.1214417958805832,0.3761537810144805,0.00906088576509442,0.2797093221301238,0.038537526967185196,0.6861370414842933,0.3138629585157067
2012,Georgia,GA,Bartow,MITT ROMNEY,REPUBLICAN,26876,35802,Bartow County,Georgia,0.08460457846105142,0.09523423405161055,0.8265379685998078,0.10012816404998398,0.4038094687554194,0.016503844152841205,0.3168344303485271,0.04178934225332573,0.6314888461639758,0.3685111538360241
2012,Georgia,GA,Ben Hill,MITT ROMNEY,REPUBLICAN,3396,5956,Ben Hill County,Georgia,0.08047493403693931,0.11754344762799436,0.5987962752668635,0.3550420168067227,0.6318345605514648,0.006423311922293592,0.2948192985579491,0.030532312622396297,0.5246378975660744,0.4753621024339256
2012,Georgia,GA,Berrien,MITT ROMNEY,REPUBLICAN,4843,6201,Berrien County,Georgia,0.08021556637993575,0.12529002320185614,0.838847943128953,0.1111285348387434,0.58801393728223,0.002926829268292683,0.25475106015391863,0.03486728443536988,0.5382863267903798,0.46171367320962015
2012,Georgia,GA,Bibb,BARACK OBAMA,DEMOCRAT,38585,64718,Bibb County,Georgia,0.1063667047082534,0.10649780036615022,0.4374710722550784,0.5152545641553099,0.5224662043846746,0.02929537017580724,0.2740369621424763,0.04900451714805984,0.5797030279826212,0.42029697201737887
2012,Georgia,GA,Bleckley,MITT ROMNEY,REPUBLICAN,3587,4907,Bleckley County,Georgia,0.16612426035502958,0.12770043206913106,0.6885233300023061,0.28180490429702515,0.5081212121212121,0.022545454545454546,0.3433689024390244,0.04649390243902439,0.4828183655789778,0.5171816344210223
2012,Georgia,GA,Brantley,MITT ROMNEY,REPUBLICAN,4964,6002,Brantley County,Georgia,0.08572055756777522,0.11932809773123909,0.9513102467312217,0.041030690956835716,0.5333536864600824,0.002747672111128072,0.36868982838007536,0.017664294683968188,0.5573515917272535,0.44264840827274654
2012,Georgia,GA,Brooks,MITT ROMNEY,REPUBLICAN,3554,6742,Brooks County,Georgia,0.09771511910549344,0.14416943097729013,0.5944230051039462,0.3566538030623677,0.5529868114817688,0.021411947245927074,0.31717814371257486,0.02694610778443114,0.5885216298971501,0.41147837010285
2012,Georgia,GA,Bryan,MITT ROMNEY,REPUBLICAN,9560,13453,Bryan County,Georgia,0.07253886010362694,0.07808381655245124,0.8008230990331853,0.1387183172197544,0.3054236669101534,0.03414901387874361,0.22087064547854443,0.07257104404989906,0.6957249152467749,0.304275084753225
2012,Georgia,GA,Bulloch,MITT ROMNEY,REPUBLICAN,14174,24085,Bulloch County,Georgia,0.27011038777243135,0.07898943762489295,0.668021603183627,0.2775724843661171,0.5490592998332936,0.01583710407239819,0.25478268050317926,0.07399047592832173,0.5662391681109186,0.43376083188908143
2012,Georgia,GA,Burke,BARACK OBAMA,DEMOCRAT,5405,9779,Burke County,Georgia,0.0951116275209561,0.10720986330742428,0.478831425866965,0.4985801566130281,0.5921477463515433,0.00413276507813509,0.34424754257233836,0.025889519590197977,0.5384970298171752,0.4615029701828248
2012,Georgia,GA,Butts,MITT ROMNEY,REPUBLICAN,6306,9381,Butts County,Georgia,0.08101747080655382,0.09893852978453739,0.7014490304592117,0.2861307084618309,0.4077732170343766,0.008465879938429965,0.341396164932949,0.026193758616367965,0.578340409917702,0.42165959008229803
2012,Georgia,GA,Calhoun,BARACK OBAMA,DEMOCRAT,1298,2188,Calhoun County,Georgia,0.13303769401330376,0.07612903225806451,0.34250113964443096,0.5982373499468165,0.6132442960489705,0.022259321090706732,0.24230164081816138,0.025848505282085862,0.48347793981908804,0.516522060180912
2012,Georgia,GA,Camden,MITT ROMNEY,REPUBLICAN,11343,17983,Camden County,Georgia,0.10869212022745735,0.08378849506101103,0.7513036581738872,0.194924159809656,0.36574482150727194,0.014598942265315117,0.25787504921905763,0.05574878592991206,0.6673322269474121,0.3326677730525879
2012,Georgia,GA,Candler,MITT ROMNEY,REPUBLICAN,2344,3528,Candler County,Georgia,0.08990760483297797,0.13812976389663506,0.682202234941401,0.24211865176705732,0.5761099365750528,0.01004228329809725,0.34895684481280365,0.03143755358673907,0.598979954928241,0.401020045071759
2012,Georgia,GA,Carroll,MITT ROMNEY,REPUBLICAN,28280,41549,Carroll County,Georgia,0.1313507033811656,0.09651266103953798,0.7751512415349887,0.1821670428893905,0.4299563496091767,0.01949040706527256,0.29073220686123913,0.04505888376856119,0.6279995808445982,0.3720004191554019
2012,Georgia,GA,Catoosa,MITT ROMNEY,REPUBLICAN,17858,23678,Catoosa County,Georgia,0.07559159958845246,0.11982039769082746,0.9378444866564942,0.023884408183601658,0.44539650537634407,0.007728494623655914,0.24284586081947412,0.03786119111771811,0.6463904669530276,0.3536095330469724
2012,Georgia,GA,Charlton,MITT ROMNEY,REPUBLICAN,2527,3764,Charlton County,Georgia,0.1050562801500804,0.10765257577817045,0.738073182028717,0.24718233750192992,0.5059920106524634,0.01944074567243675,0.28421512898994317,0.031045037166593792,0.4866025581178228,0.5133974418821772
2012,Georgia,GA,Chatham,BARACK OBAMA,DEMOCRAT,60246,108628,Chatham County,Georgia,0.12851198932993127,0.10892762563479452,0.543646562340432,0.40261090920013215,0.44494578627109815,0.03332448612462768,0.23968870687341756,0.07023930367414563,0.6235165785860713,0.37648342141392865
2012,Georgia,GA,Chattahoochee,MITT ROMNEY,REPUBLICAN,735,1490,Chattahoochee County,Georgia,0.14410480349344978,0.019762845849802372,0.6693798774859444,0.20567256859947974,0.37944509574052365,0.003907776475185619,0.1656039351430133,0.04281289852432137,0.7172552525704068,0.2827447474295932
2012,Georgia,GA,Chattooga,MITT ROMNEY,REPUBLICAN,5452,7822,Chattooga County,Georgia,0.07026680554442753,0.11822109654350417,0.8501833622852731,0.11248793669175834,0.5788741438356164,0.007705479452054794,0.28318732213604153,0.01601473132079683,0.5072170900692841,0.49278290993071594
2012,Georgia,GA,Cherokee,MITT ROMNEY,REPUBLICAN,76514,98220,Cherokee County,Georgia,0.07494650613916669,0.08479782893434977,0.8777847023914722,0.05723348247090887,0.26949971687056373,0.05177976480503575,0.19885574348031565,0.0742692654703768,0.7056680760838747,0.2943319239161253
2012,Georgia,GA,Clarke,BARACK OBAMA,DEMOCRAT,25431,40368,Clarke County,Georgia,0.3191124623993272,0.0714847661278787,0.6568332738914081,0.2616293880878382,0.5589579412986632,0.030499279063515725,0.17978998331643167,0.11688311688311688,0.5681753803820007,0.43182461961799934
2012,Georgia,GA,Clay,BARACK OBAMA,DEMOCRAT,862,1402,Clay County,Georgia,0.05347264904732637,0.1396250808015514,0.3487712665406427,0.6298046628859484,0.6964980544747081,0.0,0.3695042095416277,0.021047708138447148,0.453646477132262,0.546353522867738
2012,Georgia,GA,Clayton,BARACK OBAMA,DEMOCRAT,81479,96067,Clayton County,Georgia,0.10294655528082984,0.05948278612679876,0.2097982950859707,0.6560217655094518,0.46962964686176895,0.00863071697762062,0.2762314258615239,0.042750553272209925,0.6978999963979355,0.3021000036020645
2012,Georgia,GA,Clinch,MITT ROMNEY,REPUBLICAN,1598,2472,Clinch County,Georgia,0.09817158931082982,0.12542372881355932,0.6970588235294117,0.2852941176470588,0.5655864197530864,0.0,0.3135985198889917,0.05365402405180388,0.5653170359052712,0.4346829640947288
2012,Georgia,GA,Cobb,MITT ROMNEY,REPUBLICAN,171722,310116,Cobb County,Georgia,0.08727756930153735,0.07865786088408394,0.6315775779827123,0.2512994709606545,0.29977475309473844,0.07102785745913791,0.17102945991628393,0.11050565924195362,0.7288309350502874,0.2711690649497126
2012,Georgia,GA,Coffee,MITT ROMNEY,REPUBLICAN,9248,14454,Coffee County,Georgia,0.10209736754096795,0.09424543563669979,0.6415214020579806,0.2735046750927971,0.56224600379301,0.019845570306150095,0.31426239240130605,0.03539626001780944,0.5370732901015539,0.4629267098984461
2012,Georgia,GA,Colquitt,MITT ROMNEY,REPUBLICAN,9243,13328,Colquitt County,Georgia,0.08585242616952696,0.10937846099322199,0.6841492609430937,0.22947003140717315,0.5674235697069644,0.014524927058226564,0.3022363325541639,0.03481840700554722,0.5984377722283524,0.4015622277716476
2012,Georgia,GA,Columbia,MITT ROMNEY,REPUBLICAN,41765,58923,Columbia County,Georgia,0.07795228876537813,0.09486413805619257,0.7680744394978543,0.15476677495688446,0.26748886605001715,0.05606943017014959,0.21217009343475077,0.08762765073023042,0.6699010774368345,0.33009892256316553
2012,Georgia,GA,Cook,MITT ROMNEY,REPUBLICAN,3935,6031,Cook County,Georgia,0.08244861079737971,0.11911424747536196,0.6753938967961108,0.2795056521993791,0.5303265940902022,0.014307931570762053,0.3338173897259031,0.036304229442730075,0.6429354636591479,0.3570645363408521
2012,Georgia,GA,Coweta,MITT ROMNEY,REPUBLICAN,39653,55555,Coweta County,Georgia,0.07317148314745209,0.09355335816103763,0.7778118416501588,0.1776719177436091,0.3125053977027377,0.024116935832109856,0.2676842574842358,0.06722851183371312,0.6608472612940592,0.33915273870594076
2012,Georgia,GA,Crawford,MITT ROMNEY,REPUBLICAN,3368,5133,Crawford County,Georgia,0.09037995149555376,0.1252302025782689,0.7328556806550666,0.23502086449885837,0.5157715260017051,0.007246376811594203,0.2920282309383316,0.01758648617378225,0.5840220385674931,0.41597796143250687
2012,Georgia,GA,Crisp,MITT ROMNEY,REPUBLICAN,4182,7396,Crisp County,Georgia,0.08404605263157895,0.11769911504424779,0.5455242966751919,0.4358056265984655,0.5604011719630381,0.012733829163849448,0.2953801858395498,0.031867556602538934,0.5484695294705849,0.45153047052941503
2012,Georgia,GA,Dade,MITT ROMNEY,REPUBLICAN,4471,6020,Dade County,Georgia,0.12899394227342914,0.13277906834576353,0.9609591517050247,0.012712374984937944,0.4708339780287792,0.017793594306049824,0.2756830601092896,0.03761384335154827,0.6210997724102488,0.3789002275897511
2012,Georgia,GA,Dawson,MITT ROMNEY,REPUBLICAN,8847,10244,Dawson County,Georgia,0.08727889941039843,0.13825551936301123,0.9436303155623483,0.0018879798615481435,0.350661853188929,0.03790613718411552,0.2755674406470128,0.04513435950952257,0.6250491214281705,0.37495087857182957
2012,Georgia,GA,Decatur,MITT ROMNEY,REPUBLICAN,5824,10485,Decatur County,Georgia,0.08447729672650475,0.11579720793534166,0.5338486428186231,0.4163940319971239,0.5918270146694609,0.017336635549628502,0.27132296149177976,0.03790135716650116,0.5280509765895554,0.47194902341044465
2012,Georgia,GA,Dekalb,BARACK OBAMA,DEMOCRAT,238224,306265,DeKalb County,Georgia,0.09642571057647156,0.07576035425578928,0.34705781585815443,0.5448003443356639,0.3971681121252024,0.05165811500098382,0.1961468658383359,0.10306435850900461,0.7015190267961093,0.2984809732038906
